Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,U Wisara,Shwedagon J,U Wisara Awine,Lanmadaw,PyaeAlone
Phone Gyi Lan,1.4931392971657669,1.5024165341515163,1.5688172566979608,1.7688683425614928,1.737896866421447,1.9483449802502375,2.006058332186192,2.593682414543729,3.0061795043151585,2.337396956558787,2.7222168568264355,1.80091323846416,1.8197102070532336,1.8794481097904092,2.0650783392874885,2.7733186987419693,0.8853925491587177,0.9085450973601622,1.0287198526831893,1.1945403670894559,0.0,0.2606226711503736,0.5786055238976167,1.489011506908698,2.872948958731123,1.3315383797766989,1.5278499391016445,2.2340674818112207,0.614565118922092,2.103776142368531
San Pya,1.5163189908692203,1.4772785441258753,1.499029987487386,1.6378962323740218,1.5574987027706335,1.8008771355561592,1.808681308891533,2.362700658914635,2.7703798984008206,2.08293003562116,2.4680338446922323,1.8160518663108935,1.7963596579613652,1.8173905498518643,1.9471683006748923,2.5776114395197176,0.9243517341752802,0.8701061640126492,0.9190200223317866,1.0335764475468245,0.2606226711503736,0.0,0.3180816346435987,1.2394554522562542,2.624814563470379,1.1042836035851271,1.3184965647191584,1.9736603087257931,0.4114351387371825,1.8557146232167865
Tha Yet Taw,1.613563892277424,1.519838030230637,1.4848478471424407,1.535323507555111,1.3830304774407582,1.6701131398455222,1.6019956613384891,2.096944633028603,2.4953526913223696,1.778203111304368,2.1632644325850925,1.895093067094635,1.830400995898924,1.8026153928963815,1.8549030558085593,2.3648615812944263,1.0702093713351557,0.937160378352203,0.8880881440920575,0.9140225507348642,0.5786055238976167,0.3180816346435987,0.0,0.9383868022967957,2.3216457121693455,0.8615891723245287,1.102552742490557,1.6568033750169822,0.3262751820439377,1.5541781811770723
Pegu Club,2.3719015965131525,2.200870709686555,2.0680557127193193,1.9136098505703347,1.5856701086449752,1.948977097089483,1.6400208353634402,1.776759338221805,2.0818006677277054,1.2161869883628087,1.5586574574390906,2.6072797773218923,2.4688159531981357,2.3479191802059676,2.213028023996915,2.267907000527318,1.925771530734713,1.724138683307675,1.552010875139032,1.4050269776456659,1.489011506908698,1.2394554522562542,0.9383868022967957,0.0,1.3853805868492928,1.014209759811707,1.2463189517546471,0.9277695935929783,1.1467498726751724,0.6164937160263813
Myaeni Gone,3.606996620265261,3.389168207171003,3.1961243820753813,2.9032937368817726,2.506406865048845,2.8451734300519766,2.3899121836519965,2.0301061961157,2.0687370631902438,1.3942548812959563,1.4149979770939949,3.7924560252802424,3.6021647982901235,3.4145734994346486,3.1326633323312785,2.674575624697476,3.2483855575463045,3.017261938444377,2.795343162399941,2.577860569186044,2.872948958731123,2.624814563470379,2.3216457121693455,1.3853805868492928,0.0,2.114454362516378,2.237834727067407,1.0588489759624966,2.498102685292862,0.769252234475195
U Wisara,1.4968397834398568,1.2749100980819617,1.0945617743093763,0.8994358301583899,0.5978172179800689,0.9491011599231913,0.754073469969178,1.2621623529626045,1.6765771270465835,1.1021158437494265,1.469162117149055,1.6795880728281,1.5026027494810617,1.349748412601286,1.202426938024781,1.506786217039526,1.232471490795779,0.9712378653485848,0.7106824391814457,0.4655566780158656,1.3315383797766989,1.1042836035851271,0.8615891723245287,1.014209759811707,2.114454362516378,0.0,0.2640642824078183,1.1573252770122044,0.7196783978946777,1.453671214933139
Shwedagon J,1.4325153172709895,1.1831645462670626,0.9651441573296701,0.6871692016986582,0.3413876325858149,0.702699478898396,0.4996508256873729,1.0956246626255695,1.5195269797490574,1.0792107868344187,1.414098616081041,1.5726840568147886,1.367147086008744,1.1792246142474958,0.9702555943508461,1.2638635659689483,1.2791404393204489,1.0123777356330874,0.7339637272851679,0.4558991992427049,1.5278499391016445,1.3184965647191584,1.102552742490557,1.2463189517546471,2.237834727067407,0.2640642824078183,0.0,1.222765376460449,0.9148366997674412,1.6283949204563588
U Wisara Awine,2.642212051039079,2.4026342999045327,2.187482730642654,1.8615686897558734,1.4611278786820496,1.7905512451952124,1.3310858192107446,1.0650410187113806,1.2525868257124304,0.39528193869723727,0.6490963910190708,2.795367331532257,2.5866258224814755,2.3813135483443006,2.077646490816522,1.6819589592637663,2.3761140909306713,2.121434103183287,1.8675641385383024,1.6172495499100006,2.2340674818112207,1.9736603087257931,1.6568033750169822,0.9277695935929783,1.0588489759624966,1.1573252770122044,1.222765376460449,0.0,1.7171603270166607,0.7247615587420463
Lanmadaw,1.2971358228660084,1.19414592280205,1.161752782672218,1.2441386374136834,1.1460839635242097,1.39723135808543,1.3998557187364504,1.9812370177519008,2.39621040173235,1.765930324687202,2.1471815367598523,1.5730935913103024,1.5041394537613215,1.480471669443596,1.5594161182532966,2.168738829165114,0.7851096348552974,0.6204300933373396,0.564679376866595,0.6292045142343536,0.614565118922092,0.4114351387371825,0.3262751820439377,1.1467498726751724,2.498102685292862,0.7196783978946777,0.9148366997674412,1.7171603270166607,0.0,1.7447524068489029
PyaeAlone,2.9118491995416673,2.7146117945601524,2.547829503659492,2.3151514546259695,1.9396377052906817,2.300311659672041,1.9001585805637553,1.7796927416503965,1.9743112742510585,1.1166273934820796,1.3442559195347192,3.1224130095689486,2.9556558094092265,2.7981709596361233,2.5829742761704466,2.3739247482583017,2.510505057430328,2.29175476385825,2.0900402199303425,1.899953461819367,2.103776142368531,1.8557146232167865,1.5541781811770723,0.6164937160263813,0.769252234475195,1.453671214933139,1.6283949204563588,0.7247615587420463,1.7447524068489029,0.0
